"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN041_RS...Taxa.de.terceirização.dos.varredores....","IN042_RS...Taxa.de.terceirização.da.extensão.varrida....","IN043_RS...Custo.unitário.médio.do.serviço.de.varrição..prefeitura...empresas.contratadas...R..Km.","IN044_RS...Produtividade.média.dos.varredores..prefeitura...empresas.contratadas...Km.empreg.dia.","IN045_RS...Taxa.de.varredores.em.relação.à.população.urbana..empreg.1000.hab.","IN046_RS...Incidência.do.custo.do.serviço.de.varrição.no.custo.total.com.manejo.de.rsu....","IN047_RS...Incidência.de.varredores.no.total.de.empregados.no.manejo.de.rsu....","IN048_RS...Extensão.total.anual.varrida.per.capita..Km.habitante.ano.","IN051_RS...Taxa.de.capinadores.em.relação.à.população.urbana..empreg.1000.hab.","IN052_RS...Incidência.de.capinadores.no.total.empregados.no.manejo.de.rsu...."
240165,"Bodó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24016540] Prefeitura Municipal de Bodó - RN","Água; Res Sólidos",NA,NA,NA,NA,0,17.74,0,NA,0,0
240170,"Bom Jesus","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240180,"Brejinho","RN",2015,"[24018011] Serviço Autônomo de Água e Esgoto - SAAE; [24018040] PREFEITURA MUNICIPAL DE BREJINHO - PMB","Água; Res Sólidos",45.45,NA,NA,NA,1.14,NA,26.83,NA,0.41,9.76
240185,"Caiçara do Norte","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240190,"Caiçara do Rio do Vento","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240200,"Caicó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
240210,"Campo Redondo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240230,"Caraúbas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240240,"Carnaúba dos Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24024040] PREFEITURA MUNICIPAL DE CARNAÚBA DOS DANTAS - PMCD","Água; Res Sólidos",0,NA,NA,NA,1.38,54.79,47.37,NA,0.61,21.05
240250,"Carnaubais","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240270,"Cerro Corá","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240280,"Coronel Ezequiel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24028040] Prefeitura Municipal de Coronel Ezequiel - PMCE","Água; Res Sólidos",NA,NA,NA,NA,NA,35.63,NA,NA,NA,NA
240290,"Coronel João Pessoa","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24029040] CONSTRUTORA SERRA NOVA - CSN","Água; Res Sólidos",0,NA,NA,NA,6.49,14.58,57.14,NA,1.62,14.29
240300,"Cruzeta","RN",2015,"[24030011] Prefeitura Municipal de Cruzeta - PMC; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24030040] Secretaria Municipal de Infraestrutura. Serviços Urbano - SMISU","Esgoto; Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240310,"Currais Novos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240320,"Doutor Severiano","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240330,"Encanto","RN",2015,"[24033011] Prefeitura Municipal de Encanto - PME; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24033040] PREFEITURA MUNICIPAL  DE ENCANTO - PME","Esgoto; Água; Res Sólidos",0,NA,NA,NA,3.51,44.69,33.33,NA,4.39,41.67
240340,"Equador","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240370,"Felipe Guerra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240375,"Fernando Pedroza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240380,"Florânia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240390,"Francisco Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240400,"Frutuoso Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24040040] PREFEITURA MUNICIPAL DE FRUTUOSO GOMES - PMFG","Água; Res Sólidos",50,NA,NA,NA,3.56,NA,55.56,NA,1.07,16.67
240410,"Galinhos","RN",2015,"[24041040] Prefeitura Municipal de Galinhos - PMG","Res Sólidos",NA,NA,NA,NA,0,2.09,0,NA,1.35,28.57
240430,"Governador Dix-Sept Rosado","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240440,"Grossos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240450,"Guamaré","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24045040] SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS - SEMOSU","Água; Res Sólidos",100,NA,NA,NA,3.85,3,28.17,NA,5.96,43.66
240460,"Ielmo Marinho","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24046040] Secretaria de Obras e Serviços Urbanos - SEMO","Água; Res Sólidos",100,NA,NA,NA,2.35,NA,57.14,NA,0,0
240470,"Ipanguaçu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24047040] Prefeitura Municipal de Ipanguaçu - PMI","Água; Res Sólidos",100,NA,NA,NA,0.68,NA,21.05,NA,0.34,10.53
240480,"Ipueira","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24048040] PREFEITURA MUNICIPAL DE IPUEIRA - PMI","Água; Res Sólidos",0,NA,NA,NA,4.95,NA,38.46,NA,2.97,23.08
240485,"Itajá","RN",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240490,"Itaú","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240500,"Jaçanã","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24050040] Prefeitura Municipal de Jaçana - PMJ","Água; Res Sólidos",31.25,NA,NA,NA,5.39,NA,64,NA,0,0
240510,"Jandaíra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240520,"Janduís","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240530,"Januário Cicco","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240540,"Japi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240550,"Jardim de Angicos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240560,"Jardim de Piranhas","RN",2015,"[24056011] Prefeitura Municipal de Jardim de Piranhas - PMJP; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24056040] MUNICÍPIO DE JARDIM DE PIRANHAS - PMJP","Esgoto; Água; Res Sólidos",0,NA,NA,1.76,1.75,NA,37.74,0.96,0.26,5.66
240570,"Jardim do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24057040] Prefeitura Municipal de Jardim do Seridó - PMJS","Água; Res Sólidos",0,NA,NA,NA,0.98,41.63,55.56,NA,0,0
240580,"João Câmara","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,NA,7.22,NA,NA,NA,NA
240590,"João Dias","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24059040] Prefeitura Municipal de João Dias - PMJD","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240600,"José da Penha","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240610,"Jucurutu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24061040] Secretária de Serviços Urbanos - SSU","Água e Esgoto; Res Sólidos",60,NA,NA,NA,1.81,92.74,33.33,NA,1.63,30
240620,"Lagoa d Anta","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240630,"Lagoa de Pedras","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24063040] SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENTE - SMAMA","Água; Res Sólidos",61.54,NA,NA,NA,5.43,NA,52,NA,1.67,16
240640,"Lagoa de Velhos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240650,"Lagoa Nova","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24065040] PREFEITURA MUNICIPAL DE LAGOA NOVA - PMLN","Água e Esgoto; Res Sólidos",0,NA,NA,NA,2.02,47.73,40.54,NA,0,0
240660,"Lagoa Salgada","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240670,"Lajes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24067040] Secretaria de Obras e Serviços Urbanos - SEMOS","Água e Esgoto; Res Sólidos",0,NA,NA,NA,0.92,14.78,15.09,NA,1.15,18.87
240680,"Lajes Pintadas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240690,"Lucrécia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24069040] PREFEITURA MUNICIPAL DE LUCRECIA - PML","Água e Esgoto; Res Sólidos",100,NA,NA,NA,2.03,NA,20.83,NA,2.03,20.83
240700,"Luís Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240710,"Macaíba","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24071040] PREFEITURA MUNICIPAL DE MACAÍBA - PMM","Água e Esgoto; Res Sólidos",100,NA,NA,NA,0.9,6.92,24.57,NA,0.69,18.86
240720,"Macau","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24072040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240725,"Major Sales","RN",2015,"[24072540] Prefeitura Municipal de Major Sales - PMMS","Res Sólidos",0,NA,NA,NA,0.62,20.89,40,NA,0.31,20
240730,"Marcelino Vieira","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24073040] Prefeitura Municipal de Marcelino Vieira - PMMV","Água; Res Sólidos",NA,NA,NA,NA,0,1.93,0,NA,0.4,33.33
240740,"Martins","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24074040] Prefeitura Municipal de Martins - PMM","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240760,"Messias Targino","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240780,"Monte Alegre","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240790,"Monte das Gameleiras","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240800,"Mossoró","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR","Água e Esgoto; Res Sólidos",100,100,73.23,1.2,0.14,4.16,17.92,0.05,0.19,24.06
240830,"Nova Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24083040] PREFEITURA MUNICIPAL DE NOVA CRUZ - PMNC","Água e Esgoto; Res Sólidos",0,NA,99,0.26,0.78,10.29,35.71,0.06,0.62,28.57
240840,"Olho-D ÁGUA do Borges","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240850,"Ouro Branco","RN",2015,"[24085011] Prefeitura Municipal de Ouro Branco - pmob; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24085040] Municipio de Ouro Branco - PMOB","Esgoto; Água; Res Sólidos",0,NA,NA,NA,2.96,66.91,32.26,NA,0.59,6.45
240860,"Paraná","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24086040] Prefeitura Municipal de Paraná - PMP","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240870,"Paraú","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24087040] SECRETARIA MUNICIPAL DE URBANISMO. OBRAS E TRANSPORTES - SMUOT","Água; Res Sólidos",0,NA,NA,NA,2.38,39.01,53.33,NA,0.59,13.33
240880,"Parazinho","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240890,"Parelhas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24089040] PREFEITURA MUNICIPAL DE PARELHAS - PMPARELHAS","Água e Esgoto; Res Sólidos",0,NA,NA,NA,0.83,55.74,88.24,NA,0.11,11.76
240910,"Passa e Fica","RN",2015,"[24091011] Prefeitura Municipal de Passa e Fica - PMPeF; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24091040] PREFEITURA MUNICIPAL DE PASSA E FICA - PMPF","Esgoto; Água; Res Sólidos",0,NA,NA,NA,0.65,NA,12.82,NA,0.91,17.95
240920,"Passagem","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240930,"Patu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240933,"Santa Maria","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240940,"Pau dos Ferros","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24094040] Prefeitura Municipal de Pau dos Ferros - PMPF","Água e Esgoto; Res Sólidos",0,NA,NA,1.02,0.4,NA,16.42,0.13,0.44,17.91
240950,"Pedra Grande","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24095040] Secretaria Municipal de Obras e Servços Urbanos - SEMOSURB","Água; Res Sólidos",100,100,222.22,0.85,2.65,46.25,21.43,0.71,2.65,21.43
240960,"Pedra Preta","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240970,"Pedro Avelino","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240990,"Pendências","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241000,"Pilões","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24100040] Prefeitura Municipal de Pilões-RN - PMP","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241010,"Poço Branco","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241020,"Portalegre","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24102040] Prefeitura Municipal de Portalegre - PMP","Água; Res Sólidos",0,NA,NA,NA,2.19,76.55,42.86,NA,0,0
241025,"Porto do Mangue","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24102540] PREFEITURA MUNICIPAL - PMPM","Água; Res Sólidos",NA,100,65.15,NA,NA,13.14,NA,0.46,NA,NA
241030,"Presidente Juscelino","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241040,"Pureza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241050,"Rafael Fernandes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24105040] Prefeitura Municipal de Rafael Fernandes - PMRF","Água; Res Sólidos",NA,NA,NA,NA,0,2.16,0,NA,1.03,37.5
241060,"Rafael Godeiro","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241070,"Riacho da Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241080,"Riacho de Santana","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24108040] PREFEITURA MUNICIPAL DE RIACHO DE SANTANA - PMRS","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241090,"Riachuelo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241100,"Rodolfo Fernandes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241105,"Tibau","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241110,"Ruy Barbosa","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241120,"Santa Cruz","RN",2015,"[24112011] Serviço Autônomo de Água e Esgoto - SAAE; [24112040] Prefeitura Municipal de Santa Cruz - RN - PMSC","Água e Esgoto; Res Sólidos",61.29,62.42,51.78,2,0.93,33.7,48.44,0.59,0.09,4.69
241140,"Santana do Matos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241142,"Santana do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24114240] SECRETARIA MUNICIPAL DE INFRA ESTRUTURA - SMIE","Água e Esgoto; Res Sólidos",0,NA,NA,0.11,3.43,NA,46.15,0.11,1.71,23.08
241150,"Santo Antônio","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24115040] PREFEITURA MUNICIPAL DE SANTO ANTONIO/RN - PFMSA","Água e Esgoto; Res Sólidos",0,NA,NA,NA,0.65,7.5,18.18,NA,0.33,9.09
241160,"São Bento do Norte","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241170,"São Bento do Trairí","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24117040] Prefeitura Municipal de São Bento doTrairi - RN","Água e Esgoto; Res Sólidos",0,NA,NA,NA,3.84,87.08,57.14,NA,1.44,21.43
241180,"São Fernando","RN",2015,"[24118011] Prefeitura Municipal de São Fernando - PMSF; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Esgoto; Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241190,"São Francisco do Oeste","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24119040] Prefeitura Municipal de São Francisco do Oeste - PMSFO","Água; Res Sólidos",0,NA,NA,NA,1.57,NA,38.46,NA,0.31,7.69
241210,"São João do Sabugi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24121040] Secretaria Municipal de Infraestrutura e Serviços Urbanos - SMIS","Água; Res Sólidos",100,NA,NA,NA,1.2,31.18,25,NA,1.6,33.33
241230,"São José do Campestre","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241240,"São José do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241250,"São Miguel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24125040] Prefeitura Municipal de São Miguel - PMSM","Água; Res Sólidos",NA,100,NA,NA,NA,NA,NA,0.24,1.71,27.37
241255,"São Miguel do Gostoso","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241260,"São Paulo do Potengi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241270,"São Pedro","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241280,"São Rafael","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241290,"São Tomé","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241300,"São Vicente","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241310,"Senador Elói de Souza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241330,"Serra de São Bento","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241335,"Serra do Mel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241340,"Serra Negra do Norte","RN",2015,"[24134011] Prefeitura Municipal de Serra Negra do Norte - PMSNN; [24134040] Secretaria Municipal de Infraestrutura e Serviços Públicos - SMISP","Água e Esgoto; Res Sólidos",100,NA,NA,NA,4.02,NA,65.62,NA,0,0
241350,"Serrinha","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24135040] Prefeitura Municipal de Serrinha - PMS","Água; Res Sólidos",NA,NA,NA,NA,NA,74.05,NA,NA,NA,NA
241355,"Serrinha dos Pintos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241360,"Severiano Melo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241370,"Sítio Novo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241380,"Taboleiro Grande","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24138040] SECRETARIA MUNICIPAL DE OBRAS E URBANISMO - SMOU","Água; Res Sólidos",35.29,53.36,38.72,1.12,8.29,41.4,60.71,2.9,2.44,17.86
241390,"Taipu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241400,"Tangará","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241410,"Tenente Ananias","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24141040] Prefeitura Municipal - PM","Água; Res Sólidos",100,NA,NA,NA,2.72,3,39.22,NA,0.14,1.96
241415,"Tenente Laurentino Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241430,"Timbaúba dos Batistas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
