"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","QD001...Tipo.de.atendimento.da.portaria.sobre.qualidade.da.água","QD002...Quantidades.de.paralisações.no.sistema.de.distribuição.de.água..Paralisações.ano.","QD003...Duração.das.paralisações..soma.das.paralisações.maiores.que.6.horas.no.ano...Horas.ano.","QD004...Quantidade.de.economias.ativas.atingidas.por.paralisações..Economias.ano.","QD006...Quantidade.de.amostras.para.cloro.residual..analisadas...Amostras.ano..","QD007...Quantidade.de.amostras.para.cloro.residual.com.resultados.fora.do.padrão..Amostras.ano.","QD008...Quantidade.de.amostras.para.turbidez..analisadas...Amostras.ano.","QD009...Quantidade.de.amostras.para.turbidez.fora.do.padrão..Amostras.ano.","QD011...Quantidades.de.extravasamentos.de.esgotos.registrados..Extravasamentos.ano..","QD012...Duração.dos.extravasamentos.registrados..Horas.ano.","QD015...Quantidade.de.economias.ativas.atingidas.por.interrupções.sistemáticas..Economias.ano.","QD016...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..Amostras.","QD017...Quantidade.de.amostras.analisadas.para.aferição.de.coliformes.fecais..com.resultados.fora.do.padrão..Amostras.","QD019...Quantidade.mínima.de.amostras.para.turbidez..obrigatórias...Amostras.ano.","QD020...Quantidade.mínima.de.amostras.para.cloro.residual..obrigatórias...Amostras.ano.","QD021...Quantidade.de.interrupções.sistemáticas..Interrupções.ano.","QD022...Duração.das.interrupções.sistemáticas..Horas.ano.","QD023...Quantidade.de.reclamações.ou.solicitações.de.serviços..Reclamações.ano.","QD024...Quantidade.de.serviços.executados..Serviços.ano.","QD025...Tempo.total.de.execução.dos.serviços..Horas.ano.","QD026...Quantidade.de.amostras.para.coliformes.totais..analisadas...Amostras.ano.","QD027...Quantidade.de.amostras.para.coliformes.totais.com.resultados.fora.do.padrão..Amostras.ano.","QD028...Quantidade.mínima.de.amostras.para.coliformes.totais..obrigatórias...Amostras.ano.","QD029...Atendimento.integral.da.portaria.518.04"
231250,"São João do Jaguaribe","CE",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231270,"Senador Pompeu","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água","Atende integralmente",10,207,NA,4760,3,4749,3832,NA,NA,NA,NA,NA,4459,4456,0,0,1971,1837,99264,408,10,372,NA
231290,"Sobral","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23129011] Serviço de Água e Esgoto de Sobral - SAAE; [23129040] Prefeitura Municipal de Sobral - PMS","Água; Água e Esgoto; Res Sólidos","",19,999,NA,15123,358,14235,7827,NA,NA,NA,NA,NA,75429,75429,2,21,35202,32917,205445,7102,463,6792,NA
231300,"Solonópole","CE",2015,"[23130011] Prefeitura Municipal de Solonópole - PMS; [23130040] Prefeitura Municipal de Solonópole - PMS","Água; Res Sólidos","",20,200,NA,1440,100,120,10,NA,NA,NA,NA,NA,120,1440,20,200,200,200,NA,420,0,420,NA
231310,"Tabuleiro do Norte","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água e Esgoto","Atende integralmente",19,3265,NA,4430,0,4217,435,NA,NA,NA,NA,NA,4126,4126,7,89,10750,6740,1617599,492,7,807,NA
231320,"Tamboril","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água","Atende integralmente",30,595,NA,5854,55,5836,5045,NA,NA,NA,NA,NA,5397,5397,2,66,1262,1196,29919,460,83,444,NA
231325,"Tarrafas","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23132540] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos","Atende integralmente",0,0,NA,1533,0,1507,959,NA,NA,NA,NA,NA,216,216,0,0,471,465,22555,224,16,224,NA
231330,"Tauá","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23133040] Secretaria de InfraEstrutura e Desenvolvimento Urbano - SEINFRA","Água e Esgoto; Res Sólidos","Atende integralmente",51,4018,NA,6186,9,3829,3537,NA,NA,NA,NA,NA,4323,4323,0,0,4896,4387,1052879,597,58,644,NA
231335,"Tejuçuoca","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água","Atende integralmente",30,1424,NA,2533,0,2517,2504,NA,NA,NA,NA,NA,2286,2286,3,371,585,570,22444,200,11,216,NA
231340,"Tianguá","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23134040] Prefeitura Municipal de tianguá - PM","Água e Esgoto; Res Sólidos","Atende integralmente",18,431,NA,4766,26,4887,2,NA,NA,NA,NA,NA,4895,4895,0,0,12770,12521,470152,736,19,732,NA
231360,"Ubajara","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23136040] Prefeitura Municipal - PM","Água; Res Sólidos","Atende integralmente",13,926,NA,324,0,324,0,NA,NA,NA,NA,NA,324,324,0,0,3236,3198,196067,324,7,324,NA
231370,"Umari","CE",2015,"[23137011] Prefeitura Municipal de Umari - PMU; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23137040] PREFEITURA MUNICIPAL DE UMARI - PMU","Esgoto; Água; Res Sólidos","Atende integralmente",2,86,NA,876,0,874,737,12,20,NA,NA,NA,216,218,0,0,423,394,NA,242,4,216,NA
231375,"Umirim","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23137540] secretaria de infraestrutura - seinfra","Água; Res Sólidos","Atende integralmente",6,449,NA,4884,0,5105,3199,NA,NA,NA,NA,NA,5304,5424,1,25,1105,1071,68308,501,147,480,NA
231380,"Uruburetama","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água","Atende integralmente",2,80,NA,4281,0,4211,3348,NA,NA,NA,NA,NA,4498,4498,0,0,1469,1416,124100,414,40,396,NA
231395,"Varjota","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23139540] SECRETARIA DE OBRAS E SERVIÇOS PÚBLICOS - SEOSP","Água; Res Sólidos","Atende integralmente",38,845,NA,2753,7,2734,1882,NA,NA,NA,NA,NA,4099,4099,0,0,1752,1734,66492,383,90,384,NA
231400,"Várzea Alegre","CE",2015,"[23140011] Prefeitura Municipal de Várzea Alegre - PMVA; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23140040] Prefeitura Municipal de Várzea Alegre - PMVA","Esgoto; Água; Res Sólidos","Atende integralmente",14,803,NA,2991,0,2991,10,0,0,NA,NA,NA,2865,2867,0,0,6830,5313,907481,610,2,588,NA
240010,"Acari","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24001040] PREFEITURA MUNICIPAL DE ACARI - PMA","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,82,0,82,46,NA,NA,NA,NA,NA,264,264,NA,NA,NA,NA,NA,82,0,264,NA
240020,"Açu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24002040] Secretaria Adjunta de Serviços Públicos - SERVIP","Água; Res Sólidos","Atende integralmente",NA,NA,NA,514,0,514,24,NA,NA,NA,NA,NA,588,588,NA,NA,NA,NA,NA,514,2,588,NA
240030,"Afonso Bezerra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24003040] SECRETARIA DE OBRAS E SERVIÇOS URBANOS - SOSUR","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,96,0,96,0,NA,NA,NA,NA,NA,132,132,NA,NA,NA,NA,NA,96,0,132,NA
240040,"Água Nova","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24004040] SECRETARIA MUNICIPAL DE INFRA - ESTRUTUTA E SERVIÇOS URBANOS - SEMISU","Água; Res Sólidos","Atende integralmente",NA,NA,NA,24,4,24,0,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,24,3,120,NA
240050,"Alexandria","RN",2015,"[24005011] Serviço Autônomo de Água e Esgoto de Alexandria - SAAE","Água e Esgoto","",0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,928,832,280,0,0,1,NA
240060,"Almino Afonso","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24006040] PREFEITURA MUNICIPAL DE ALMINO AFONSO - PMAA","Água; Res Sólidos","Atende integralmente",NA,NA,NA,82,1,82,82,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,82,40,120,NA
240070,"Alto do Rodrigues","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24007040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,119,0,119,0,NA,NA,NA,NA,NA,168,168,NA,NA,NA,NA,NA,119,0,168,NA
240080,"Angicos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,114,0,114,0,NA,NA,NA,NA,NA,180,180,NA,NA,NA,NA,NA,114,1,180,NA
240090,"Antônio Martins","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24009040] PREFEITURA MUNICIPAL DE ANTONIO MARTINS - PMAA","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240100,"Apodi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24010040] PREFEITURA MUNICIPAL DE APODI - PMA","Água; Res Sólidos","Atende integralmente",NA,NA,NA,356,29,366,0,NA,NA,NA,NA,NA,480,480,NA,NA,NA,NA,NA,365,3,60,NA
240110,"Areia Branca","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24011040] Prefeitura Municipal de Areia Branca - PMAB","Água; Res Sólidos","Atende integralmente",NA,NA,NA,474,1,469,2,NA,NA,NA,NA,NA,480,480,NA,NA,NA,NA,NA,472,0,480,NA
240130,"Augusto Severo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24013040] Prefeitural Municipal de Campo Grande - PMAS","Água; Res Sólidos","Atende integralmente",NA,NA,NA,187,0,181,116,NA,NA,NA,NA,NA,96,96,NA,NA,NA,NA,NA,187,0,96,NA
240145,"Baraúna","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,315,0,315,0,NA,NA,NA,NA,NA,300,300,NA,NA,NA,NA,NA,314,0,300,NA
240150,"Barcelona","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24015040] Secretaria Municipal de Servios Urbanos. Obras e Viao - SMSUOV","Água; Res Sólidos","Atende integralmente",NA,NA,NA,70,14,89,2,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,89,14,120,NA
240160,"Bento Fernandes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24016040] SECRETARIA MUNICIPAL DE OBRAS TRANSPORTES E SERVIÇOS URBANOS - SMOTS","Água; Res Sólidos","Atende integralmente",NA,NA,NA,41,0,45,0,NA,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,45,0,36,NA
240165,"Bodó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24016540] Prefeitura Municipal de Bodó - RN","Água; Res Sólidos","Atende integralmente",NA,NA,NA,91,1,91,85,NA,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,91,0,36,NA
240170,"Bom Jesus","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,54,1,54,2,NA,NA,NA,NA,NA,84,84,NA,NA,NA,NA,NA,54,0,84,NA
240180,"Brejinho","RN",2015,"[24018011] Serviço Autônomo de Água e Esgoto - SAAE; [24018040] PREFEITURA MUNICIPAL DE BREJINHO - PMB","Água; Res Sólidos","",5,111,650,30,3,30,5,NA,NA,650,NA,NA,30,30,12,13,125,53,80,30,2,30,NA
240185,"Caiçara do Norte","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,48,10,48,1,NA,NA,NA,NA,NA,96,96,NA,NA,NA,NA,NA,48,1,96,NA
240190,"Caiçara do Rio do Vento","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,69,1,79,0,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,80,10,60,NA
240200,"Caicó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,361,2,361,83,NA,NA,NA,NA,NA,732,732,NA,NA,NA,NA,NA,361,1,732,NA
240210,"Campo Redondo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,48,5,48,0,NA,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,48,0,36,NA
240230,"Caraúbas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,492,14,570,6,NA,NA,NA,NA,NA,360,360,NA,NA,NA,NA,NA,569,60,360,NA
240240,"Carnaúba dos Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24024040] PREFEITURA MUNICIPAL DE CARNAÚBA DOS DANTAS - PMCD","Água; Res Sólidos","Atende integralmente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240250,"Carnaubais","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,65,0,65,0,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,65,0,120,NA
240270,"Cerro Corá","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,153,1,153,150,NA,NA,NA,NA,NA,192,192,NA,NA,NA,NA,NA,153,1,192,NA
240280,"Coronel Ezequiel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24028040] Prefeitura Municipal de Coronel Ezequiel - PMCE","Água; Res Sólidos","Atende integralmente",NA,NA,NA,51,0,51,7,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,51,0,24,NA
240290,"Coronel João Pessoa","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24029040] CONSTRUTORA SERRA NOVA - CSN","Água; Res Sólidos","Atende integralmente",NA,NA,NA,52,8,52,1,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,52,2,120,NA
240300,"Cruzeta","RN",2015,"[24030011] Prefeitura Municipal de Cruzeta - PMC; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24030040] Secretaria Municipal de Infraestrutura. Serviços Urbano - SMISU","Esgoto; Água; Res Sólidos","Atende integralmente",NA,NA,NA,113,0,113,111,1095,730,NA,NA,NA,180,180,NA,NA,NA,NA,NA,113,11,180,NA
240310,"Currais Novos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,147,15,147,73,NA,NA,NA,NA,NA,576,576,NA,NA,NA,NA,NA,147,18,576,NA
240320,"Doutor Severiano","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,38,15,38,7,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,38,7,120,NA
240330,"Encanto","RN",2015,"[24033011] Prefeitura Municipal de Encanto - PME; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24033040] PREFEITURA MUNICIPAL  DE ENCANTO - PME","Esgoto; Água; Res Sólidos","Atende integralmente",NA,NA,NA,54,9,54,2,50,200,NA,NA,NA,120,120,NA,NA,NA,NA,NA,54,6,120,NA
240340,"Equador","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,78,1,78,12,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,78,0,120,NA
240370,"Felipe Guerra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,138,1,136,3,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,138,0,120,NA
240375,"Fernando Pedroza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,54,0,54,0,NA,NA,NA,NA,NA,48,48,NA,NA,NA,NA,NA,54,0,48,NA
240380,"Florânia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,127,2,127,124,NA,NA,NA,NA,NA,132,132,NA,NA,NA,NA,NA,127,0,132,NA
240390,"Francisco Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,57,3,57,26,NA,NA,NA,NA,NA,111,120,NA,NA,NA,NA,NA,57,21,120,NA
240400,"Frutuoso Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24040040] PREFEITURA MUNICIPAL DE FRUTUOSO GOMES - PMFG","Água; Res Sólidos","Atende integralmente",NA,NA,NA,36,7,36,36,NA,NA,NA,NA,NA,72,72,NA,NA,NA,NA,NA,36,5,72,NA
240410,"Galinhos","RN",2015,"[24041040] Prefeitura Municipal de Galinhos - PMG","Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240430,"Governador Dix-Sept Rosado","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,191,3,190,0,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,191,0,120,NA
240440,"Grossos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,141,0,138,1,NA,NA,NA,NA,NA,60,156,NA,NA,NA,NA,NA,141,0,156,NA
240450,"Guamaré","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24045040] SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS - SEMOSU","Água; Res Sólidos","Atende integralmente",NA,NA,NA,68,2,68,0,NA,NA,NA,NA,NA,168,168,NA,NA,NA,NA,NA,68,3,168,NA
240460,"Ielmo Marinho","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24046040] Secretaria de Obras e Serviços Urbanos - SEMO","Água; Res Sólidos","Atende integralmente",NA,NA,NA,18,1,51,0,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,51,3,24,NA
240470,"Ipanguaçu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24047040] Prefeitura Municipal de Ipanguaçu - PMI","Água; Res Sólidos","Atende integralmente",NA,NA,NA,70,0,70,0,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,70,0,120,NA
240480,"Ipueira","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24048040] PREFEITURA MUNICIPAL DE IPUEIRA - PMI","Água; Res Sólidos","Atende integralmente",NA,NA,NA,119,0,119,0,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,119,0,120,NA
240485,"Itajá","RN",2015,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240490,"Itaú","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,74,11,74,63,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,74,13,120,NA
240500,"Jaçanã","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24050040] Prefeitura Municipal de Jaçana - PMJ","Água; Res Sólidos","Atende integralmente",NA,NA,NA,52,0,52,4,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,52,0,24,NA
240510,"Jandaíra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,90,21,90,0,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,90,5,120,NA
240520,"Janduís","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,113,0,107,56,NA,NA,NA,NA,NA,96,96,NA,NA,NA,NA,NA,113,0,96,NA
240530,"Januário Cicco","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,53,0,53,0,NA,NA,NA,NA,NA,48,48,NA,NA,NA,NA,NA,53,0,48,NA
240540,"Japi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,62,0,62,4,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,62,0,24,NA
240550,"Jardim de Angicos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,41,1,41,1,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,41,0,24,NA
240560,"Jardim de Piranhas","RN",2015,"[24056011] Prefeitura Municipal de Jardim de Piranhas - PMJP; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24056040] MUNICÍPIO DE JARDIM DE PIRANHAS - PMJP","Esgoto; Água; Res Sólidos","Atende integralmente",NA,NA,NA,127,2,127,0,NA,0,NA,NA,NA,264,264,NA,NA,NA,NA,NA,127,1,264,NA
240570,"Jardim do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24057040] Prefeitura Municipal de Jardim do Seridó - PMJS","Água; Res Sólidos","Atende integralmente",NA,NA,NA,136,18,136,87,NA,NA,NA,NA,NA,264,264,NA,NA,NA,NA,NA,136,40,264,NA
240580,"João Câmara","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,173,4,173,0,NA,NA,NA,NA,NA,300,300,NA,NA,NA,NA,NA,173,2,300,NA
240590,"João Dias","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24059040] Prefeitura Municipal de João Dias - PMJD","Água; Res Sólidos","Atende integralmente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240600,"José da Penha","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,50,10,50,47,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,50,6,120,NA
240610,"Jucurutu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24061040] Secretária de Serviços Urbanos - SSU","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,136,0,136,53,NA,NA,NA,NA,NA,324,324,NA,NA,NA,NA,NA,136,2,324,NA
240620,"Lagoa d Anta","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,45,0,45,0,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,45,0,60,NA
240630,"Lagoa de Pedras","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24063040] SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENTE - SMAMA","Água; Res Sólidos","Atende integralmente",NA,NA,NA,56,0,56,0,NA,NA,NA,NA,NA,36,36,NA,NA,NA,NA,NA,56,0,36,NA
240640,"Lagoa de Velhos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,22,5,47,0,NA,NA,NA,NA,NA,24,24,NA,NA,NA,NA,NA,47,0,24,NA
240650,"Lagoa Nova","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24065040] PREFEITURA MUNICIPAL DE LAGOA NOVA - PMLN","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,113,0,113,106,NA,NA,NA,NA,NA,204,204,NA,NA,NA,NA,NA,113,0,204,NA
240660,"Lagoa Salgada","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,56,3,56,3,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,56,3,60,NA
240670,"Lajes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24067040] Secretaria de Obras e Serviços Urbanos - SEMOS","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,70,14,89,2,NA,NA,NA,NA,NA,120,120,NA,NA,NA,NA,NA,89,14,120,NA
240680,"Lajes Pintadas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto","Atende integralmente",NA,NA,NA,38,1,38,0,NA,NA,NA,NA,NA,27,24,NA,NA,NA,NA,NA,38,0,24,NA
240690,"Lucrécia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24069040] PREFEITURA MUNICIPAL DE LUCRECIA - PML","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,40,1,40,40,NA,NA,NA,NA,NA,60,60,NA,NA,NA,NA,NA,40,2,60,NA
240700,"Luís Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água","Atende integralmente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240710,"Macaíba","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24071040] PREFEITURA MUNICIPAL DE MACAÍBA - PMM","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,17,3,89,0,NA,NA,NA,NA,NA,540,540,NA,NA,NA,NA,NA,68,4,540,NA
240720,"Macau","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24072040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos","Atende integralmente",NA,NA,NA,127,0,127,1,NA,NA,NA,NA,NA,408,408,NA,NA,NA,NA,NA,127,1,408,NA
240725,"Major Sales","RN",2015,"[24072540] Prefeitura Municipal de Major Sales - PMMS","Res Sólidos","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
