"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN071_AE...Economias.atingidas.por.paralisações..econ.paralis.","IN072_AE...Duração.média.das.paralisações..horas.paralis.","IN073_AE...Economias.atingidas.por.intermitências..econ.interrup.","IN074_AE...Duração.média.das.intermitências..horas.interrup.","IN075_AE...Incidência.das.análises.de.cloro.residual.fora.do.padrão..percentual.","IN076_AE...Incidência.das.análises.de.turbidez.fora.do.padrão..percentual.","IN077_AE...Duração.média.dos.reparos.de.extravasamentos.de.esgotos..horas.extrav.","IN079_AE...Índice.de.conformidade.da.quantidade.de.amostras...cloro.residual..percentual.","IN080_AE...Índice.de.conformidade.da.quantidade.de.amostras...turbidez..percentual.","IN082_AE...Extravasamentos.de.esgotos.por.extensão.de.rede..extrav.Km.","IN083_AE...Duração.média.dos.serviços.executados..hora.serviço.","IN084_AE...Incidência.das.análises.de.coliformes.totais.fora.do.padrão..percentual.","IN085_AE...Índice.de.conformidade.da.quantidade.de.amostras...coliformes.totais..percentual."
240340,"Equador","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,1.28,15.38,NA,65,65,NA,NA,0,65
240370,"Felipe Guerra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0.72,2.21,NA,115,113.33,NA,NA,0,115
240375,"Fernando Pedroza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,112.5,112.5,NA,NA,0,112.5
240380,"Florânia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,1.57,97.64,NA,96.21,96.21,NA,NA,0,96.21
240390,"Francisco Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,5.26,45.61,NA,47.5,51.35,NA,NA,36.84,47.5
240400,"Frutuoso Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24040040] PREFEITURA MUNICIPAL DE FRUTUOSO GOMES - PMFG","Água; Res Sólidos",NA,NA,NA,NA,19.44,100,NA,50,50,NA,NA,13.89,50
240410,"Galinhos","RN",2015,"[24041040] Prefeitura Municipal de Galinhos - PMG","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240430,"Governador Dix-Sept Rosado","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,1.57,0,NA,159.17,158.33,NA,NA,0,159.17
240440,"Grossos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0.72,NA,90.38,230,NA,NA,0,90.38
240450,"Guamaré","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24045040] SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS - SEMOSU","Água; Res Sólidos",NA,NA,NA,NA,2.94,0,NA,40.48,40.48,NA,NA,4.41,40.48
240460,"Ielmo Marinho","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24046040] Secretaria de Obras e Serviços Urbanos - SEMO","Água; Res Sólidos",NA,NA,NA,NA,5.56,0,NA,75,212.5,NA,NA,5.88,212.5
240470,"Ipanguaçu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24047040] Prefeitura Municipal de Ipanguaçu - PMI","Água; Res Sólidos",NA,NA,NA,NA,0,0,NA,58.33,58.33,NA,NA,0,58.33
240480,"Ipueira","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24048040] PREFEITURA MUNICIPAL DE IPUEIRA - PMI","Água; Res Sólidos",NA,NA,NA,NA,0,0,NA,99.17,99.17,NA,NA,0,99.17
240485,"Itajá","RN",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240490,"Itaú","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,14.86,85.14,NA,61.67,61.67,NA,NA,17.57,61.67
240500,"Jaçanã","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24050040] Prefeitura Municipal de Jaçana - PMJ","Água; Res Sólidos",NA,NA,NA,NA,0,7.69,NA,216.67,216.67,NA,NA,0,216.67
240510,"Jandaíra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,23.33,0,NA,75,75,NA,NA,5.56,75
240520,"Janduís","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,52.34,NA,117.71,111.46,NA,NA,0,117.71
240530,"Januário Cicco","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,110.42,110.42,NA,NA,0,110.42
240540,"Japi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,6.45,NA,258.33,258.33,NA,NA,0,258.33
240550,"Jardim de Angicos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,2.44,2.44,NA,170.83,170.83,NA,NA,0,170.83
240560,"Jardim de Piranhas","RN",2015,"[24056011] Prefeitura Municipal de Jardim de Piranhas - PMJP; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24056040] MUNICÍPIO DE JARDIM DE PIRANHAS - PMJP","Esgoto; Água; Res Sólidos",NA,NA,NA,NA,1.57,0,NA,48.11,48.11,NA,NA,0.79,48.11
240570,"Jardim do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24057040] Prefeitura Municipal de Jardim do Seridó - PMJS","Água; Res Sólidos",NA,NA,NA,NA,13.24,63.97,NA,51.52,51.52,NA,NA,29.41,51.52
240580,"João Câmara","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,2.31,0,NA,57.67,57.67,NA,NA,1.16,57.67
240590,"João Dias","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24059040] Prefeitura Municipal de João Dias - PMJD","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240600,"José da Penha","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,20,94,NA,41.67,41.67,NA,NA,12,41.67
240610,"Jucurutu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24061040] Secretária de Serviços Urbanos - SSU","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,0,38.97,NA,41.98,41.98,NA,NA,1.47,41.98
240620,"Lagoa d Anta","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,75,75,NA,NA,0,75
240630,"Lagoa de Pedras","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24063040] SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENTE - SMAMA","Água; Res Sólidos",NA,NA,NA,NA,0,0,NA,155.56,155.56,NA,NA,0,155.56
240640,"Lagoa de Velhos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,22.73,0,NA,91.67,195.83,NA,NA,0,195.83
240650,"Lagoa Nova","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24065040] PREFEITURA MUNICIPAL DE LAGOA NOVA - PMLN","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,0,93.81,NA,55.39,55.39,NA,NA,0,55.39
240660,"Lagoa Salgada","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,5.36,5.36,NA,93.33,93.33,NA,NA,5.36,93.33
240670,"Lajes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24067040] Secretaria de Obras e Serviços Urbanos - SEMOS","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,20,2.25,NA,58.33,74.17,NA,NA,15.73,74.17
240680,"Lajes Pintadas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,2.63,0,NA,158.33,140.74,NA,NA,0,158.33
240690,"Lucrécia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24069040] PREFEITURA MUNICIPAL DE LUCRECIA - PML","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,2.5,100,NA,66.67,66.67,NA,NA,5,66.67
240700,"Luís Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240710,"Macaíba","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24071040] PREFEITURA MUNICIPAL DE MACAÍBA - PMM","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,17.65,0,NA,3.15,16.48,NA,NA,5.88,12.59
240720,"Macau","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24072040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,0,0.79,NA,31.13,31.13,NA,NA,0.79,31.13
240725,"Major Sales","RN",2015,"[24072540] Prefeitura Municipal de Major Sales - PMMS","Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240730,"Marcelino Vieira","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24073040] Prefeitura Municipal de Marcelino Vieira - PMMV","Água; Res Sólidos",NA,NA,NA,NA,15.15,96.97,NA,27.5,27.5,NA,NA,48.48,27.5
240740,"Martins","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24074040] Prefeitura Municipal de Martins - PMM","Água; Res Sólidos",NA,NA,NA,NA,6.25,100,NA,53.33,53.33,NA,NA,3.08,54.17
240760,"Messias Targino","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,40.54,NA,235.42,231.25,NA,NA,0,277.08
240780,"Monte Alegre","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,1.2,0,NA,24.7,24.7,NA,NA,1.2,24.7
240790,"Monte das Gameleiras","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,4.17,NA,200,200,NA,NA,2.08,200
240800,"Mossoró","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,2.2,0.1,NA,109.66,109.66,NA,NA,0.47,109.66
240830,"Nova Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24083040] PREFEITURA MUNICIPAL DE NOVA CRUZ - PMNC","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,7.06,21.18,NA,23.61,23.61,NA,NA,0,23.61
240840,"Olho-D ÁGUA do Borges","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,10.87,0,NA,38.33,38.33,NA,NA,4.35,38.33
240850,"Ouro Branco","RN",2015,"[24085011] Prefeitura Municipal de Ouro Branco - pmob; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24085040] Municipio de Ouro Branco - PMOB","Esgoto; Água; Res Sólidos",NA,NA,NA,NA,0,1.79,23.89,46.67,46.67,14.4,NA,0,46.67
240860,"Paraná","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24086040] Prefeitura Municipal de Paraná - PMP","Água; Res Sólidos",NA,NA,NA,NA,20.34,58.62,NA,40.97,40.28,NA,NA,1.69,40.97
240870,"Paraú","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24087040] SECRETARIA MUNICIPAL DE URBANISMO. OBRAS E TRANSPORTES - SMUOT","Água; Res Sólidos",NA,NA,NA,NA,0,73.68,NA,47.5,47.5,NA,NA,0,47.5
240880,"Parazinho","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,15.69,0,NA,85,93.33,NA,NA,1.79,93.33
240890,"Parelhas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24089040] PREFEITURA MUNICIPAL DE PARELHAS - PMPARELHAS","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,2.28,35.16,NA,46.79,46.79,NA,NA,7.76,46.79
240910,"Passa e Fica","RN",2015,"[24091011] Prefeitura Municipal de Passa e Fica - PMPeF; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24091040] PREFEITURA MUNICIPAL DE PASSA E FICA - PMPF","Esgoto; Água; Res Sólidos",NA,NA,NA,NA,11.11,11.11,NA,37.5,37.5,NA,NA,0,37.5
240920,"Passagem","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,25,12.5,NA,111.11,133.33,NA,NA,2.5,111.11
240930,"Patu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,50,NA,70.14,65.28,NA,NA,0.99,70.14
240933,"Santa Maria","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,35.29,0,NA,70.83,108.33,NA,NA,4,104.17
240940,"Pau dos Ferros","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24094040] Prefeitura Municipal de Pau dos Ferros - PMPF","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,30.28,63.3,NA,21.63,21.63,NA,NA,11.01,21.63
240950,"Pedra Grande","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24095040] Secretaria Municipal de Obras e Servços Urbanos - SEMOSURB","Água; Res Sólidos",NA,NA,NA,NA,33.33,0,NA,225,225,NA,NA,9.26,225
240960,"Pedra Preta","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,79.17,0,NA,100,129.17,NA,NA,22.58,129.17
240970,"Pedro Avelino","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,0,2.44,NA,68.33,68.33,NA,NA,4.88,68.33
240990,"Pendências","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,1.53,8.4,NA,57.46,57.46,NA,NA,8.4,57.46
241000,"Pilões","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24100040] Prefeitura Municipal de Pilões-RN - PMP","Água; Res Sólidos",NA,NA,NA,NA,28.57,100,NA,5.83,5.83,NA,NA,71.43,5.83
241010,"Poço Branco","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,3.81,0.87,NA,87.5,95.83,NA,NA,0,95.83
241020,"Portalegre","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24102040] Prefeitura Municipal de Portalegre - PMP","Água; Res Sólidos",NA,NA,NA,NA,29.09,0,NA,50.93,50.93,NA,NA,18.18,50.93
241025,"Porto do Mangue","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24102540] PREFEITURA MUNICIPAL - PMPM","Água; Res Sólidos",NA,NA,NA,NA,0,7.14,NA,58.33,58.33,NA,NA,0,58.33
241030,"Presidente Juscelino","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,90,90,NA,NA,0,90
241040,"Pureza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,8.33,0,NA,75,75,NA,NA,0,75
241050,"Rafael Fernandes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24105040] Prefeitura Municipal de Rafael Fernandes - PMRF","Água; Res Sólidos",NA,NA,NA,NA,76.47,100,NA,17.71,14.58,NA,NA,50,14.58
241060,"Rafael Godeiro","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,32.35,0,NA,70.83,77.27,NA,NA,11.76,70.83
241070,"Riacho da Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,18.84,50.72,NA,143.75,143.75,NA,NA,8.7,143.75
241080,"Riacho de Santana","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24108040] PREFEITURA MUNICIPAL DE RIACHO DE SANTANA - PMRS","Água; Res Sólidos",NA,NA,NA,NA,44.44,0,NA,7.5,7.5,NA,NA,22.22,7.5
241090,"Riachuelo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,27.16,1.5,NA,96.43,158.33,NA,NA,8.27,158.33
241100,"Rodolfo Fernandes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,43.84,5.48,NA,60.83,60.83,NA,NA,1.37,60.83
241105,"Tibau","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,231.94,230.56,NA,NA,0,230.56
241110,"Ruy Barbosa","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,62.5,187.5,NA,NA,0,187.5
241120,"Santa Cruz","RN",2015,"[24112011] Serviço Autônomo de Água e Esgoto - SAAE; [24112040] Prefeitura Municipal de Santa Cruz - RN - PMSC","Água e Esgoto; Res Sólidos",1908,14.33,3950,8.33,0.84,0.4,2.62,109.28,102.25,0.34,NA,0.51,106.52
241140,"Santana do Matos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,97.48,NA,76.28,76.28,NA,NA,7.56,76.28
241142,"Santana do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24114240] SECRETARIA MUNICIPAL DE INFRA ESTRUTURA - SMIE","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,8.99,66.29,NA,74.17,74.17,NA,NA,19.1,74.17
241150,"Santo Antônio","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24115040] PREFEITURA MUNICIPAL DE SANTO ANTONIO/RN - PFMSA","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,16.44,23.29,NA,30.42,30.42,NA,NA,2.74,30.42
241160,"São Bento do Norte","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,36.49,1.35,NA,205.56,205.56,NA,NA,1.35,205.56
241170,"São Bento do Trairí","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24117040] Prefeitura Municipal de São Bento doTrairi - RN","Água e Esgoto; Res Sólidos",NA,NA,NA,NA,0,7.84,NA,212.5,212.5,NA,NA,0,212.5
241180,"São Fernando","RN",2015,"[24118011] Prefeitura Municipal de São Fernando - PMSF; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Esgoto; Água",NA,NA,NA,NA,1.08,19.35,NA,77.5,77.5,0,NA,0,77.5
241190,"São Francisco do Oeste","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24119040] Prefeitura Municipal de São Francisco do Oeste - PMSFO","Água; Res Sólidos",NA,NA,NA,NA,63.64,27.27,NA,9.17,9.17,NA,NA,54.55,9.17
241210,"São João do Sabugi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24121040] Secretaria Municipal de Infraestrutura e Serviços Urbanos - SMIS","Água; Res Sólidos",NA,NA,NA,NA,0.77,83.85,NA,108.33,108.33,NA,NA,0.77,108.33
241230,"São José do Campestre","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,2.27,4.55,NA,52.38,52.38,NA,NA,0,52.38
241240,"São José do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,0,1.52,NA,55,55,NA,NA,1.52,55
241250,"São Miguel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24125040] Prefeitura Municipal de São Miguel - PMSM","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241255,"São Miguel do Gostoso","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,100,100,NA,NA,0,100
241260,"São Paulo do Potengi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,7.32,0,NA,34.17,78.33,NA,NA,0,78.33
241270,"São Pedro","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,5.26,0,NA,105.56,105.56,NA,NA,0,105.56
241280,"São Rafael","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,0,93.67,NA,50.64,50.64,NA,NA,0,50.64
241290,"São Tomé","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,55.32,5.32,NA,156.67,156.67,NA,NA,15.96,156.67
241300,"São Vicente","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,86.96,NA,119.79,119.79,NA,NA,0,119.79
241310,"Senador Elói de Souza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,7.69,0,NA,108.33,108.33,NA,NA,0,108.33
241330,"Serra de São Bento","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,11.9,0,NA,116.67,116.67,NA,NA,0,116.67
241335,"Serra do Mel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241340,"Serra Negra do Norte","RN",2015,"[24134011] Prefeitura Municipal de Serra Negra do Norte - PMSNN; [24134040] Secretaria Municipal de Infraestrutura e Serviços Públicos - SMISP","Água e Esgoto; Res Sólidos",NA,7.92,NA,4,0,8.33,3,100,100,20.13,2,0,100
241350,"Serrinha","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24135040] Prefeitura Municipal de Serrinha - PMS","Água; Res Sólidos",NA,NA,NA,NA,2.04,4.08,NA,136.11,136.11,NA,NA,0,136.11
241355,"Serrinha dos Pintos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,23.44,40.62,NA,53.33,53.33,NA,NA,15.62,53.33
241360,"Severiano Melo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,50,0,NA,13.33,13.33,NA,NA,18.75,13.33
241370,"Sítio Novo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,2.17,6.52,NA,191.67,191.67,NA,NA,0,191.67
241380,"Taboleiro Grande","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24138040] SECRETARIA MUNICIPAL DE OBRAS E URBANISMO - SMOU","Água; Res Sólidos",NA,NA,NA,NA,10.53,64.47,NA,63.33,63.33,NA,NA,14.47,63.33
241390,"Taipu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,50,102.08,NA,NA,0,102.08
241400,"Tangará","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,45,45,NA,NA,0,45
241410,"Tenente Ananias","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24141040] Prefeitura Municipal - PM","Água; Res Sólidos",NA,NA,NA,NA,0,63.64,NA,13.1,13.1,NA,NA,18.18,13.1
241415,"Tenente Laurentino Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0.93,88.89,NA,112.5,112.5,NA,NA,0,112.5
241430,"Timbaúba dos Batistas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,8.79,0,NA,75.83,75.83,NA,NA,0,75.83
241440,"Touros","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,0,NA,100,100,NA,NA,0,100
241445,"Triunfo Potiguar","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,0,68.87,NA,159.72,147.22,NA,NA,0,159.72
241450,"Umarizal","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,11.73,8.02,NA,75,75,NA,NA,0.62,75
241460,"Upanema","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24146040] PREFEITURA MUNICIPAL DE UPANEMA - PMU","Água; Res Sólidos",NA,NA,NA,NA,0,0,NA,133.89,133.89,NA,NA,0,133.89
241470,"Várzea","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24147040] Prefeitura Municipal de Várzea - PMV","Água; Res Sólidos",NA,NA,NA,NA,4.44,15.56,NA,46.87,46.87,NA,NA,0,46.87
241475,"Venha-Ver","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24147540] PREFEITURA MUNICIPAL DE VENHA-VER - PMVV","Água; Res Sólidos",NA,NA,NA,NA,12.82,46.15,NA,32.5,32.5,NA,NA,7.69,35.14
241480,"Vera Cruz","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,34.26,1.85,NA,64.29,64.29,NA,NA,0,64.29
