"Código.do.Município","Município","Estado","Ano.de.Referência","Prestadores","Serviços","IN001_RS...Taxa.de.empregados.em.relação.à.população.urbana..empreg.1000.hab.","IN002_RS...Despesa.média.por.empregado.alocado.nos.serviços.do.manejo.de.rsu..R..empreg.","IN003_RS...Incidência.das.despesas.com.o.manejo.de.rsu.nas.despesas.correntes.da.prefeitura....","IN004_RS...Incidência.das.despesas.com.empresas.contratadas.para.execução.de.serviços.de.manejo.rsu.nas.despesas.com.manejo.de.rsu....","IN005_RS...Auto.suficiência.financeira.da.prefeitura.com.o.manejo.de.rsu....","IN006_RS...Despesa.per.capita.com.manejo.de.rsu.em.relação.à.população.urbana..R..hab.","IN007_RS...Incidência.de.empregados.próprios.no.total.de.empregados.no.manejo.de.rsu....","IN008_RS...Incidência.de.empregados.de.empresas.contratadas.no.total.de.empregados.no.manejo.de.rsu....","IN010_RS...Incidência.de.empregados.gerenciais.e.administrativos.no.total.de.empregados.no.manejo.de.rsu....","IN011_RS...Receita.arrecadada.per.capita.com.taxas.ou.outras.formas.de.cobrança.pela.prestação.de.serviços.de.manejo.rsu..R..habitante.ano.","IN029_AE...Índice.de.evasão.de.receitas..percentual.","IN030_AE...Margem.da.despesa.de.exploração..percentual.","IN031_AE...Margem.da.despesa.com.pessoal.próprio..percentual.","IN032_AE...Margem.da.despesa.com.pessoal.total..equivalente...percentual.","IN033_AE...Margem.do.serviço.da.divida..percentual.","IN034_AE...Margem.das.outras.despesas.de.exploração..percentual.","IN035_AE...Participação.da.despesa.com.pessoal.próprio.nas.despesas.de.exploração..percentual.","IN036_AE...Participação.da.despesa.com.pessoal.total..equivalente..nas.despesas.de.exploração..percentual.","IN037_AE...Participação.da.despesa.com.energia.elétrica.nas.despesas.de.exploração..percentual.","IN038_AE...Participação.da.despesa.com.produtos.químicos.nas.despesas.de.exploração..DEX...percentual.","IN039_AE...Participação.das.outras.despesas.nas.despesas.de.exploração..percentual.","IN040_AE...Participação.da.receita.operacional.direta.de.água.na.receita.operacional.total..percentual.","IN041_AE...Participação.da.receita.operacional.direta.de.esgoto.na.receita.operacional.total..percentual.","IN042_AE...Participação.da.receita.operacional.indireta.na.receita.operacional.total..percentual.","IN045_AE...Índice.de.produtividade..empregados.próprios.por.1000.ligações.de.água..empreg.mil.lig.","IN048_AE...Índice.de.produtividade..empregados.próprios.por.1000.ligações.de.água...esgoto..empreg.mil.lig.","IN054_AE...Dias.de.faturamento.comprometidos.com.contas.a.receber..dias.","IN060_AE...Índice.de.despesas.por.consumo.de.energia.elétrica.nos.sistemas.de.água.e.esgotos..R..kWh.","IN101_AE...Índice.de.suficiência.de.caixa..percentual.","IN102_AE...Índice.de.produtividade.de.pessoal.total..equivalente...ligações.empregados."
231380,"Uruburetama","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.59,124.87,38.22,72.82,0.05,32.3,30.61,58.32,11.63,6.26,25.87,96.61,NA,3.39,0.61,0.61,142,0.3,82.34,855.23
231395,"Varjota","CE",2015,"[23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23139540] SECRETARIA DE OBRAS E SERVIÇOS PÚBLICOS - SEOSP","Água; Res Sólidos",NA,NA,9.3,100,NA,63.98,NA,NA,NA,NA,-0.75,123.93,40.76,63.62,2.04,26.06,32.89,51.34,27.69,3.65,21.03,97.23,NA,2.77,0.63,0.63,90,0.48,80.47,1010.66
231400,"Várzea Alegre","CE",2015,"[23140011] Prefeitura Municipal de Várzea Alegre - PMVA; [23044000] Companhia de Água e Esgoto do Ceará - CAGECE; [23140040] Prefeitura Municipal de Várzea Alegre - PMVA","Esgoto; Água; Res Sólidos",3.53,17687.94,2.52,100,NA,62.49,2.27,97.73,1.14,NA,-2.85,95.32,38.69,56.15,2.61,27.15,40.59,58.91,11.29,2.81,28.48,96.42,0,3.58,1.01,0.79,69,NA,105.96,873.44
240010,"Acari","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24001040] PREFEITURA MUNICIPAL DE ACARI - PMA","Água e Esgoto; Res Sólidos",NA,NA,10.36,36.59,NA,178.65,NA,NA,NA,NA,2.41,109.05,56.67,66.78,2.99,15.64,51.97,61.24,7.7,7.95,14.35,74.18,20.75,5.07,3.98,2.18,167,0.38,91.42,389.31
240020,"Açu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24002040] Secretaria Adjunta de Serviços Públicos - SERVIP","Água; Res Sólidos",2.1,NA,5.81,NA,NA,NA,3.37,96.63,6.74,0.8,14.21,79.33,30.78,40.87,5.64,7.88,38.8,51.52,25.19,1.46,9.94,92.46,NA,7.54,1.8,1.8,208,0.36,108.2,418.66
240030,"Afonso Bezerra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24003040] SECRETARIA DE OBRAS E SERVIÇOS URBANOS - SOSUR","Água e Esgoto; Res Sólidos",NA,NA,0.91,7.14,NA,25.37,NA,NA,NA,NA,23.44,85.97,42.8,52.34,4.77,10.93,49.79,60.88,14.36,0.94,12.71,71.38,22.39,6.23,8.62,4.6,456,0.37,89.33,177.82
240040,"Água Nova","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24004040] SECRETARIA MUNICIPAL DE INFRA - ESTRUTUTA E SERVIÇOS URBANOS - SEMISU","Água; Res Sólidos",NA,NA,15.48,NA,NA,NA,NA,NA,NA,NA,1.18,107.76,54.42,73.88,4.9,13.33,50.5,68.56,9.61,0.65,12.37,96.11,NA,3.89,2.81,2.81,48,0.43,90.72,262.24
240050,"Alexandria","RN",2015,"[24005011] Serviço Autônomo de Água e Esgoto de Alexandria - SAAE","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,114.42,81.13,81.13,0,20.54,70.91,70.91,10.18,0,17.95,100,0,0,6.04,3.44,350,2.02,87.4,290.87
240060,"Almino Afonso","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24006040] PREFEITURA MUNICIPAL DE ALMINO AFONSO - PMAA","Água; Res Sólidos",NA,NA,10,0,NA,37.76,NA,NA,NA,NA,13.27,99.52,52.28,69.11,4.16,10.3,52.54,69.45,8.21,2.38,10.35,95.66,NA,4.34,4.15,4.15,305,0.39,86.97,182.4
240070,"Alto do Rodrigues","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24007040] Prefeitura Municipal - PM","Água e Esgoto; Res Sólidos",5.78,48790.98,4.63,100,NA,282.03,0,100,6.9,NA,15.74,81.51,35.99,55.56,5.71,8.99,44.16,68.17,7.33,1.77,11.02,93.56,0.61,5.83,2.2,2.16,142,0.45,101.66,300.06
240080,"Angicos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.42,87.19,39.03,49.77,6.63,8.83,44.76,57.08,19.67,2.17,10.13,95.95,NA,4.05,2.14,2.14,202,0.37,99.65,367.04
240090,"Antônio Martins","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24009040] PREFEITURA MUNICIPAL DE ANTONIO MARTINS - PMAA","Água e Esgoto; Res Sólidos",3.04,NA,0.9,NA,NA,NA,100,0,NA,NA,-290.05,NA,NA,NA,NA,NA,24.53,60.24,2.07,0,37.68,0,0,100,NA,NA,1229390,0.73,0.02,NA
240100,"Apodi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24010040] PREFEITURA MUNICIPAL DE APODI - PMA","Água; Res Sólidos",2.74,16000,1.69,0,NA,43.84,100,0,2,NA,4.06,107.48,53.04,65.67,7.65,15.73,49.35,61.1,14.12,1.23,14.63,96.43,NA,3.57,2.96,2.96,63,0.44,85.64,272.78
240110,"Areia Branca","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24011040] Prefeitura Municipal de Areia Branca - PMAB","Água; Res Sólidos",NA,NA,3.06,100,NA,63.78,NA,NA,NA,NA,4.85,57.19,25.66,30.43,3.42,8.14,44.87,53.21,14.3,1.6,14.23,95.03,NA,4.97,2.72,2.72,65,0.4,163.94,309.72
240130,"Augusto Severo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24013040] Prefeitural Municipal de Campo Grande - PMAS","Água; Res Sólidos",NA,NA,11.52,33.71,NA,84.11,NA,NA,NA,NA,2.04,103.22,47.84,53.07,5.81,10.04,46.35,51.41,28.21,1.4,9.73,95.96,NA,4.04,3.64,3.64,101,0.43,92.96,247.38
240145,"Baraúna","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58,80.06,34.59,43.41,4.47,7.63,43.21,54.23,22.98,1.3,9.52,94.45,NA,5.55,2.86,2.86,108,0.39,113.69,278.75
240150,"Barcelona","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24015040] Secretaria Municipal de Servios Urbanos. Obras e Viao - SMSUOV","Água; Res Sólidos",7.74,23214.29,2.63,3.08,0.06,179.76,100,0,14.29,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240150,"Barcelona","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24015040] Secretaria Municipal de Servios Urbanos. Obras e Viao - SMSUOV","Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,95.65,31.45,38.45,5.41,5.83,32.88,40.2,42.86,0.88,6.1,95.62,NA,4.38,2.73,2.73,149,0.36,98.28,299.63
240160,"Bento Fernandes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24016040] SECRETARIA MUNICIPAL DE OBRAS TRANSPORTES E SERVIÇOS URBANOS - SMOTS","Água; Res Sólidos",NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,21.65,128.83,61.8,72.69,9.13,8.3,47.97,56.42,27.82,1.1,6.44,85.27,NA,14.73,3.39,3.39,556,0.36,66.01,250.53
240165,"Bodó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24016540] Prefeitura Municipal de Bodó - RN","Água; Res Sólidos",NA,NA,0.51,0,NA,52,NA,NA,NA,NA,14.85,350.73,50.12,85.16,6.37,11.85,14.29,24.28,68.37,1.26,3.38,96.28,NA,3.72,4,4,117,0.34,24.7,146.99
240170,"Bom Jesus","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.57,67.62,28.06,31.84,3.54,5.18,41.5,47.09,30.19,0.5,7.66,91.58,NA,8.42,2.71,2.71,178,0.38,136.31,325.59
240180,"Brejinho","RN",2015,"[24018011] Serviço Autônomo de Água e Esgoto - SAAE; [24018040] PREFEITURA MUNICIPAL DE BREJINHO - PMB","Água; Res Sólidos",4.25,NA,0.64,NA,NA,NA,51.22,48.78,4.88,NA,0,81.85,32.4,35.21,6.97,0,39.59,43.02,38.81,5.15,0,100,NA,0,3.17,3.17,360,0.02,111.24,290.08
240185,"Caiçara do Norte","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.23,180.81,84.12,101.59,14.89,14.3,46.53,56.18,29.04,1.28,7.91,92.08,NA,7.92,3.89,3.89,239,0.38,48.76,213.07
240190,"Caiçara do Rio do Vento","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,112.94,42.06,53.37,7.34,10.34,37.24,47.25,32.86,0.98,9.16,89.05,7.09,3.86,3.63,2.74,427,0.39,59.86,287.81
240200,"Caicó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24020040] PREFEITURA MUNICIPAL DE CAICÓ - RN","Água e Esgoto; Res Sólidos",NA,NA,5.85,NA,NA,NA,NA,NA,NA,NA,6.06,82.86,44.25,52.6,3.57,9.23,53.4,63.48,11.76,2.02,11.14,92.73,2.51,4.76,3.67,3.38,193,0.45,113.54,248.75
240210,"Campo Redondo","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.04,185.57,51.48,62.48,4.31,7.11,27.74,33.67,57.3,0.07,3.83,89.5,5.67,4.83,4.29,3.61,110,0.36,55.19,228.17
240230,"Caraúbas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.79,97.97,39.58,49.02,5.08,11.65,40.4,50.03,27.39,0.86,11.89,95.56,NA,4.44,3.19,3.19,209,0.39,87.97,252.82
240240,"Carnaúba dos Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24024040] PREFEITURA MUNICIPAL DE CARNAÚBA DOS DANTAS - PMCD","Água; Res Sólidos",2.91,15368.42,2.08,4.11,NA,44.73,100,0,5.26,NA,-2961.76,NA,NA,NA,NA,NA,61.61,62.22,10.58,0.58,26.62,0,NA,100,NA,NA,122164,0.46,20.98,NA
240250,"Carnaubais","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.69,147.52,79.43,97.67,9.94,17.03,53.84,66.21,13.91,1.71,11.54,74.4,19.08,6.51,4.95,2.81,286,0.43,59.48,289.59
240270,"Cerro Corá","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.29,170.63,105.08,123.5,6.69,12.25,61.58,72.38,12.69,2.19,7.18,97.18,NA,2.82,7.03,7.03,201,0.42,50.06,120.95
240280,"Coronel Ezequiel","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24028040] Prefeitura Municipal de Coronel Ezequiel - PMCE","Água; Res Sólidos",6.38,20254,3.9,3.48,NA,129.28,100,0,NA,NA,27.49,156.65,23.58,37.26,3.06,3.33,15.05,23.79,68.01,0.04,2.13,94.54,NA,5.46,2.33,2.33,435,0.32,47.89,271.3
240290,"Coronel João Pessoa","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24029040] CONSTRUTORA SERRA NOVA - CSN","Água; Res Sólidos",11.36,2285.71,19.2,100,NA,25.97,76.19,23.81,9.52,NA,3.3,156.11,100.3,114.28,3.53,18.87,64.25,73.2,6.58,2.11,12.09,96.01,NA,3.99,5.86,5.86,69,0.43,62.9,149.79
240300,"Cruzeta","RN",2015,"[24030011] Prefeitura Municipal de Cruzeta - PMC; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24030040] Secretaria Municipal de Infraestrutura. Serviços Urbano - SMISU","Esgoto; Água; Res Sólidos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,121.11,56.5,82.53,5.33,10.44,46.66,68.15,13.91,1.44,8.62,96.34,0,3.66,5.27,2.81,71,0.63,76.4,243.45
240300,"Cruzeta","RN",2015,"[24030011] Prefeitura Municipal de Cruzeta - PMC; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24030040] Secretaria Municipal de Infraestrutura. Serviços Urbano - SMISU","Esgoto; Água; Res Sólidos",5.39,NA,0.66,NA,NA,NA,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240310,"Currais Novos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,85.29,43.81,52.18,2.72,15.23,51.37,61.18,8.98,0.91,17.86,73.08,22.47,4.46,4.5,2.53,204,0.42,99.95,331.67
240320,"Doutor Severiano","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,133.43,49,63.46,1.95,45.93,36.72,47.56,8.42,2.54,34.42,87.53,8.38,4.1,3.4,2.61,78,0.41,72.38,295.63
240330,"Encanto","RN",2015,"[24033011] Prefeitura Municipal de Encanto - PME; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24033040] PREFEITURA MUNICIPAL  DE ENCANTO - PME","Esgoto; Água; Res Sólidos",10.54,15291.67,3.2,0,NA,161.18,100,0,4.17,NA,3.97,124.63,66.78,85.87,4.57,18.78,53.58,68.9,4.89,3.08,15.07,91.64,0,8.36,5.33,1.54,36,0.03,80.72,505.77
240340,"Equador","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.28,132.24,80.5,95.58,2.7,11.83,60.88,72.28,9.9,1.68,8.95,95.46,NA,4.54,5.72,5.72,96,0.43,69.46,147.29
240370,"Felipe Guerra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.29,179.79,89.87,102,13.37,22.35,49.99,56.73,23.5,1.86,12.43,93.34,NA,6.66,3.81,3.81,400,0.5,48.75,231.52
240375,"Fernando Pedroza","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,90.31,39.91,51.41,6.95,8.92,44.19,56.93,20.77,1.44,9.88,92.65,NA,7.35,2.95,2.95,378,0.36,72.42,262.9
240380,"Florânia","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.34,179.69,41.6,68.12,4.9,57.05,23.15,37.91,19.15,5.66,31.75,70.45,20.2,9.35,3.33,1.8,240,0.36,52.2,339.09
240390,"Francisco Dantas","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.79,144.33,69.99,96.25,6.4,15.97,48.49,66.69,13.6,2.05,11.06,97.19,NA,2.81,3.61,3.61,69,0.43,65.98,201.25
240400,"Frutuoso Gomes","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24040040] PREFEITURA MUNICIPAL DE FRUTUOSO GOMES - PMFG","Água; Res Sólidos",NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,5.11,186.69,74.68,97.15,5.65,22.11,40,52.04,16.7,14.32,11.84,96.65,NA,3.35,2.47,2.47,77,0.47,50.84,310.86
240410,"Galinhos","RN",2015,"[24041040] Prefeitura Municipal de Galinhos - PMG","Res Sólidos",NA,NA,1.7,0,NA,42.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240430,"Governador Dix-Sept Rosado","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.69,103.09,48.75,57.78,5.01,9.46,47.29,56.05,23.49,1.36,9.18,85.19,NA,14.81,3.4,3.4,260,0.36,84.51,248.09
240440,"Grossos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.89,85.6,37.82,46.07,5,8.92,44.18,53.82,22.88,1.74,10.42,94.87,NA,5.13,3.08,3.08,148,0.44,106.37,266.53
240450,"Guamaré","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24045040] SECRETARIA MUNICIPAL DE OBRAS E SERVIÇOS URBANOS - SEMOSU","Água; Res Sólidos",NA,NA,5.6,100,NA,269.51,NA,NA,NA,NA,51.55,128,52.08,65.27,7.31,23.01,40.68,50.99,22.5,1.07,17.98,93.35,NA,6.65,3.44,3.44,624,0.39,38.07,232.13
240460,"Ielmo Marinho","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24046040] Secretaria de Obras e Serviços Urbanos - SEMO","Água; Res Sólidos",4.11,NA,0.71,NA,NA,NA,0,100,0,NA,-1.42,141.34,29.01,35.02,4.38,3.81,20.52,24.78,65.29,0.48,2.7,94.65,NA,5.35,3.87,3.87,78,0.36,73.24,214.09
240470,"Ipanguaçu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24047040] Prefeitura Municipal de Ipanguaçu - PMI","Água; Res Sólidos",3.23,NA,2.77,NA,NA,NA,5.26,94.74,15.79,NA,15.55,82.16,39.73,51.85,7.21,9.86,48.35,63.1,11.53,1.64,12,93.74,NA,6.26,3.17,3.17,232,0.45,99.69,241.58
240480,"Ipueira","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24048040] PREFEITURA MUNICIPAL DE IPUEIRA - PMI","Água; Res Sólidos",12.87,NA,3.93,NA,NA,NA,100,0,7.69,NA,6.47,153.12,78.12,128.58,4.06,7.09,51.02,83.97,4.63,0.51,4.63,95.86,NA,4.14,2.72,2.72,55,0.46,61.86,222.98
240485,"Itajá","RN",2015,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240490,"Itaú","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,168.64,82.99,117.83,7.25,20.74,49.21,69.87,10.05,2.11,12.3,96.29,NA,3.71,2.5,2.5,62,0.43,56.88,281.2
240500,"Jaçanã","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24050040] Prefeitura Municipal de Jaçana - PMJ","Água; Res Sólidos",8.42,NA,9.37,NA,NA,NA,80,20,4,NA,5.25,270.64,39.69,68.12,4.3,4.26,14.67,25.17,69.69,0.03,1.57,94.37,NA,5.63,3.31,3.31,91,0.32,36.44,176.13
240510,"Jandaíra","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.86,114.76,63.13,71.79,6.71,6.2,55.01,62.55,22.58,0.91,5.4,90.43,NA,9.57,3.53,3.53,560,0.46,76.02,248.88
240520,"Janduís","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.04,94.36,46.72,51.4,5.07,8.47,49.52,54.48,24.49,1.93,8.98,94.79,NA,5.21,3.96,3.96,194,0.42,97.96,229.64
240530,"Januário Cicco","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02,78.88,32.19,38.92,4.91,4.76,40.81,49.34,31.85,0.13,6.03,89.95,NA,10.05,2.7,2.7,174,0.36,126.33,306.43
240540,"Japi","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.19,150.19,28.94,34.49,4.86,4.78,19.27,22.97,67.43,0.07,3.19,95.95,NA,4.05,2.53,2.53,319,0.36,58.78,331.62
240550,"Jardim de Angicos","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.31,125.27,49.09,56.9,6.75,10.78,39.19,45.42,36.6,0.84,8.61,84.96,NA,15.04,4.87,4.87,387,0.37,89.69,177.31
240560,"Jardim de Piranhas","RN",2015,"[24056011] Prefeitura Municipal de Jardim de Piranhas - PMJP; [24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24056040] MUNICÍPIO DE JARDIM DE PIRANHAS - PMJP","Esgoto; Água; Res Sólidos",4.63,NA,2.91,NA,NA,NA,100,0,3.77,NA,-1.42,215.51,85.21,124.82,5.66,14.32,39.54,57.92,25.16,5.81,6.65,95.07,0,4.93,6.42,5.58,66,0.41,48.07,122.27
240570,"Jardim do Seridó","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24057040] Prefeitura Municipal de Jardim do Seridó - PMJS","Água; Res Sólidos",NA,NA,2.42,48.9,NA,44.78,NA,NA,NA,NA,7.04,144.32,61.94,78.89,4.21,17.62,42.92,54.66,11.44,14.04,12.21,82.7,NA,17.3,2.81,2.81,228,0.4,75.39,279.2
240580,"João Câmara","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24058040] PREFEITURA MUNICIPAL DE JOÃO CAMARA - PMJC","Água e Esgoto; Res Sólidos",4.4,20700.93,3.96,0,NA,91.1,100,0,NA,NA,18.64,125.79,50.52,63.1,8.89,12.4,40.16,50.16,31.12,1.04,9.86,82.61,9.39,8,3.18,2.39,234,0.39,65.08,334.9
240590,"João Dias","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24059040] Prefeitura Municipal de João Dias - PMJD","Água; Res Sólidos",9.95,NA,0.8,NA,NA,NA,100,0,NA,NA,-86.69,NA,NA,NA,NA,NA,18.11,18.11,9.46,0,72.43,0,NA,100,3.19,3.19,46304,0.44,0.28,313
240600,"José da Penha","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água e Esgoto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.25,114.02,51.67,67.47,4.05,18.31,45.31,59.17,8.59,7.84,16.06,93.38,3.36,3.26,4.02,3.64,160,0.43,77.33,210.36
240610,"Jucurutu","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24061040] Secretária de Serviços Urbanos - SSU","Água e Esgoto; Res Sólidos",5.44,29497.74,4.44,75.67,NA,160.6,51.67,48.33,6.67,NA,9.88,110.71,37.22,73.2,3.8,15.51,33.62,66.12,10.04,1.3,14.01,85.49,8.73,5.77,2.76,2.18,352,0.44,83.14,233.72
240620,"Lagoa d Anta","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN","Água",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.95,102.17,27.72,32.78,4.56,3.78,27.13,32.08,54.67,0.09,3.7,94.47,NA,5.53,1.94,1.94,218,0.36,88.81,435.23
240630,"Lagoa de Pedras","RN",2015,"[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN; [24063040] SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENTE - SMAMA","Água; Res Sólidos",10.44,NA,3.45,NA,NA,NA,40,60,0,NA,11.18,75.75,27.88,34.89,4.56,6.11,36.81,46.06,33.24,0.13,8.07,94.76,NA,5.24,2.36,2.36,246,0.37,115.83,338.05
